"country","gdp","gdppc","unemployment_rate","median_age","sex_ratio","infant_mortality","life_expectancy","total_fertility","literacy"
"equatorial_guinea",3.152e+10,37400,8.6,19.9,1,63.3,65,4.29,95.3
"eritrea",9.402e+09,1600,5.8,19.9,0.97,44.4,65.6,3.9,73.8
"estonia",4.165e+10,31700,5.8,43,0.88,3.8,77,1.6,99.8
"eswatini",1.16e+10,10100,28,23.2,0.9,46.6,57.2,2.63,87.5
"ethiopia",2.006e+11,2200,17.5,18,0.99,48.3,63,4.91,49.1
"falkland_islands_islas_malvinas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"faroe_islands",2.001e+09,40000,2.2,37.6,1.08,5.3,80.6,2.34,NA
"fiji",8.629e+09,9800,4.5,29.2,1.03,9.3,73.2,2.37,99.1
"finland",2.449e+11,44500,8.5,42.6,0.97,2.5,81.1,1.75,NA
"france",2.856e+12,44100,9.4,41.5,0.96,3.2,82,2.06,NA
"french_polynesia",5.49e+09,17000,21.8,32.4,1.05,4.6,77.5,1.87,NA
"gabon",3.666e+10,18100,28,20.5,1.08,32.9,68,3.52,83.2
"gambia_the",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gaza_strip",NA,NA,NA,NA,NA,NA,NA,NA,NA
"georgia",3.985e+10,10700,11.8,38.3,0.92,14.7,76.6,1.76,99.8
"germany",4.199e+12,50800,3.8,47.4,0.96,3.4,80.9,1.46,NA
"ghana",1.34e+11,4700,11.9,21.2,0.97,34.1,67.4,3.96,76.6
"gibraltar",2.044e+09,61700,1,35,1.01,5.8,79.7,1.9,NA
"greece",2.993e+11,27800,21.5,44.9,0.95,4.5,80.8,1.44,97.7
"greenland",2.413e+09,41800,9.1,34,1.09,8.7,72.9,1.97,100
"grenada",1.634e+09,15100,24,32.1,1.03,9.4,74.8,2,98.6
"guam",5.793e+09,35600,4.5,29.1,1.06,11.9,76.4,2.92,NA
"guatemala",1.381e+11,8200,2.3,22.5,0.99,23.3,71.8,2.87,81.5
"guernsey",3.465e+09,52500,1.2,44,0.99,3.4,82.7,1.57,NA
"guinea",2.797e+10,2200,2.7,19,1,55.3,62.1,4.98,30.4
"guinea_bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA
"guyana",6.301e+09,8100,11.1,26.7,1.02,29.5,68.9,1.97,88.5
"haiti",1.997e+10,1800,40.6,23.3,0.98,45.4,64.6,2.66,60.7
"heard_island_and_mcdonald_islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"holy_see_vatican_city",NA,NA,NA,NA,NA,NA,NA,NA,NA
"honduras",4.63e+10,5600,5.6,23.3,1.01,16.7,71.3,2.61,89
"hong_kong",4.559e+11,61500,3.1,44.8,0.87,2.7,83.1,1.2,NA
"hungary",2.896e+11,29600,4.2,42.7,0.91,4.8,76.3,1.45,99.1
"iceland",1.818e+10,52200,2.8,36.7,1,2.1,83.1,1.99,NA
"india",9.474e+12,7200,8.5,28.1,1.08,37.8,69.1,2.4,71.2
"indian_ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"indonesia",3.25e+12,12400,5.4,30.5,1,21.9,73.2,2.08,95.4
"iran",1.64e+12,20100,11.8,30.8,1.03,15.5,74.2,1.96,85.5
"iraq",6.493e+11,16700,16,20.2,1.02,37.5,74.9,3.94,79.7
"ireland",3.533e+11,73200,6.7,37.1,1,3.6,81,1.96,NA
"isle_of_man",6.792e+09,84600,1.1,44.4,1,4,81.4,1.92,NA
"israel",3.171e+11,36400,4.2,30.1,1.01,3.4,82.7,2.63,97.8
"italy",2.317e+12,38200,11.3,45.8,0.93,3.2,82.4,1.45,99.2
"jamaica",2.606e+10,9200,12.2,28.6,0.98,12.4,74.5,2.09,88.7
"jan_mayen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"japan",5.443e+12,42900,2.9,47.7,0.94,2,85.5,1.42,NA
"jersey",5.569e+09,56600,4,37.7,0.97,3.7,82,1.66,NA
"jordan",8.9e+10,9200,18.3,22.8,1.12,13.7,75,3.14,95.4
"kazakhstan",4.786e+11,26300,5,30.9,0.91,19,71.4,2.22,99.8
"kenya",1.637e+11,3500,40,20,1,36.1,64.6,2.81,78
"kiribati",2.27e+08,2000,30.6,25,0.95,31.1,66.9,2.34,NA
"korea_north",4e+10,1700,25.6,34.2,0.94,21.4,71,1.94,100
"korea_south",2.035e+12,39500,3.7,42.3,1,3,82.5,1.27,NA
"kosovo",1.96e+10,10900,30.5,29.6,1.06,NA,NA,NA,NA
"kuwait",2.897e+11,65800,1.1,29.4,1.4,6.8,78.3,2.35,96
"kyrgyzstan",2.315e+10,3700,7.1,26.8,0.96,25,71.2,2.59,99.5
"laos",4.934e+10,7400,0.7,23.4,0.99,48.4,65,2.65,84.7
"latvia",5.402e+10,27700,8.7,43.9,0.86,5.1,74.9,1.52,99.9
"lebanon",8.825e+10,19600,9.7,31.3,1,7.2,77.9,1.72,93.9
"lesotho",6.656e+09,3300,28.1,24.4,0.98,44.6,53,2.59,79.4
"liberia",6.112e+09,1300,2.8,17.8,1,50.6,63.8,5,47.6
"libya",6.197e+10,9600,30,29.4,1.07,10.5,76.9,2.03,91
"liechtenstein",4.978e+09,139100,2.4,43.4,0.99,4.2,82,1.69,NA
"lithuania",9.147e+10,32400,7.1,44,0.86,3.8,75.2,1.6,99.8
"luxembourg",6.211e+10,105100,5.8,39.3,1.01,3.4,82.4,1.62,NA
"macau",7.182e+10,110000,2,39.8,0.9,3.1,84.6,0.95,96.5
"madagascar",3.985e+10,1600,1.8,19.9,1,40.1,66.6,3.95,64.7
"malawi",2.242e+10,1200,20.4,16.6,0.98,42.1,62.2,5.43,62.1
"malaysia",9.333e+11,29100,3.4,28.7,1.03,12.1,75.4,2.48,94.6
"maldives",6.901e+09,19200,2.9,28.6,1.18,21.3,76,1.72,99.3
"mali",4.122e+10,2200,7.9,15.8,0.95,67.6,60.8,5.9,33.1
"malta",1.926e+10,41900,4.6,41.8,1.01,4.7,82.7,1.48,94.4
"marshall_islands",1.96e+08,3600,36,23.1,1.03,18.7,73.6,2.98,98.3
"mauritania",1.728e+10,4500,10.2,20.7,0.93,50.5,63.8,3.79,52.1
"mauritius",2.827e+10,22300,7.1,35.7,0.97,9.5,76,1.74,93.2
"mexico",2.463e+12,19900,3.4,28.6,0.96,11.3,76.3,2.22,94.9
"micronesia_federated_states_of",3.48e+08,3400,16.2,25.5,0.97,19.1,73.4,2.37,NA
"moldova",2.372e+10,6700,4.1,37,0.95,11.7,71.3,1.57,99.4
"monaco",7.672e+09,115700,2,53.8,0.94,1.8,89.4,1.54,NA
"mongolia",3.973e+10,13000,8,28.8,0.96,20.5,70.2,2.04,98.4
"montenegro",1.108e+10,17800,16.1,38.9,0.97,NA,NA,NA,98.7
"montserrat",167400000,34000,5.6,33.8,1,11.9,74.8,1.34,NA
"morocco",2.986e+11,8600,10.2,29.7,0.96,21.1,77.3,2.09,68.5
"mozambique",3.709e+10,1300,24.5,17.3,0.96,64,54.1,5.02,56
"namibia",2.66e+10,11200,34,21.4,0.96,33.8,64.4,3.21,81.9
"nauru",1.6e+08,12300,23,26.7,0.88,7.7,67.8,2.76,NA
"navassa_island",NA,NA,NA,NA,NA,NA,NA,NA,NA
"nepal",7.919e+10,2700,3,24.5,0.96,26.9,71.3,2.07,63.9
"netherlands",9.244e+11,53900,4.9,42.7,0.98,3.5,81.5,1.78,NA
"new_caledonia",1.111e+10,31100,14.7,32.3,1,5.2,78,1.92,96.9
"new_zealand",1.89e+11,39000,4.7,38.1,0.99,4.4,81.4,2.01,NA
"nicaragua",3.64e+10,5900,6.4,26.2,0.95,17.7,73.7,1.87,82.8
"niger",2.186e+10,1200,0.3,15.5,1.01,79.4,56.3,6.35,19.1
"nigeria",1.121e+12,5900,16.5,18.3,1.02,63.3,59.3,4.85,59.6
"niue",NA,NA,NA,NA,NA,NA,NA,NA,NA
"norfolk_island",NA,NA,NA,NA,NA,NA,NA,NA,NA
"north_macedonia",3.103e+10,14900,22.4,38.2,0.99,7.8,75.9,1.49,97.8
"northern_mariana_islands",1.242e+09,24500,11.2,33.4,1.13,12.3,75.6,2.76,NA
