"site","layer","EC","EC_high","EC_all","EC_absolute","EC_absolute_high","EC_absolute_all","EC_able","EC_capita","EC_capita_high","EC_capita_all","EC_q1_to_q1","EC_q1_to_q2","EC_q1_to_q3","EC_q1_to_q4","EC_q2_to_q1","EC_q2_to_q2","EC_q2_to_q3","EC_q2_to_q4","EC_q3_to_q1","EC_q3_to_q2","EC_q3_to_q3","EC_q3_to_q4","EC_q4_to_q1","EC_q4_to_q2","EC_q4_to_q3","EC_q4_to_q4","EC_q1_to_q1_able","EC_q1_to_q2_able","EC_q1_to_q3_able","EC_q1_to_q4_able","EC_q2_to_q1_able","EC_q2_to_q2_able","EC_q2_to_q3_able","EC_q2_to_q4_able","EC_q3_to_q1_able","EC_q3_to_q2_able","EC_q3_to_q3_able","EC_q3_to_q4_able","EC_q4_to_q1_able","EC_q4_to_q2_able","EC_q4_to_q3_able","EC_q4_to_q4_able","EC_q1_to_q1_capita","EC_q1_to_q2_capita","EC_q1_to_q3_capita","EC_q1_to_q4_capita","EC_q2_to_q1_capita","EC_q2_to_q2_capita","EC_q2_to_q3_capita","EC_q2_to_q4_capita","EC_q3_to_q1_capita","EC_q3_to_q2_capita","EC_q3_to_q3_capita","EC_q3_to_q4_capita","EC_q4_to_q1_capita","EC_q4_to_q2_capita","EC_q4_to_q3_capita","EC_q4_to_q4_capita","EC_q1_to_q1_absolute","EC_q1_to_q2_absolute","EC_q1_to_q3_absolute","EC_q1_to_q4_absolute","EC_q2_to_q1_absolute","EC_q2_to_q2_absolute","EC_q2_to_q3_absolute","EC_q2_to_q4_absolute","EC_q3_to_q1_absolute","EC_q3_to_q2_absolute","EC_q3_to_q3_absolute","EC_q3_to_q4_absolute","EC_q4_to_q1_absolute","EC_q4_to_q2_absolute","EC_q4_to_q3_absolute","EC_q4_to_q4_absolute","EC_all_to_q1_capita","EC_all_to_q2_capita","EC_all_to_q3_capita","EC_all_to_q4_capita","EC_all_to_q1_absolute","EC_all_to_q2_absolute","EC_all_to_q3_absolute","EC_all_to_q4_absolute","avg_frank_all_adult","avg_frank_all_capita","avg_frank_all_absolute","avg_frank_low_adult","avg_frank_low_capita","avg_sum_frank_low_capita","avg_sum_fwealth_low_capita","median_frank_low_capita","median_fwealth_low_capita","avg_frank_low_absolute","avg_sum_fwealth_low_absolute","median_frank_low_absolute","median_fwealth_low_absolute","avg_frank_high_adult","avg_frank_high_capita","avg_sum_frank_high_capita","avg_sum_fwealth_high_capita","median_frank_high_capita","median_fwealth_high_capita","avg_frank_high_absolute","avg_sum_fwealth_high_absolute","median_frank_high_absolute","median_fwealth_high_absolute","avg_frank_q1_capita","avg_frank_q2_capita","avg_frank_q3_capita","avg_frank_q4_capita","EC_size_adjusted","EC_size_adjusted_high","EC_size_adjusted_all","EC_q1_to_q1_size_adjusted","EC_q1_to_q2_size_adjusted","EC_q1_to_q3_size_adjusted","EC_q1_to_q4_size_adjusted","EC_q2_to_q1_size_adjusted","EC_q2_to_q2_size_adjusted","EC_q2_to_q3_size_adjusted","EC_q2_to_q4_size_adjusted","EC_q3_to_q1_size_adjusted","EC_q3_to_q2_size_adjusted","EC_q3_to_q3_size_adjusted","EC_q3_to_q4_size_adjusted","EC_q4_to_q1_size_adjusted","EC_q4_to_q2_size_adjusted","EC_q4_to_q3_size_adjusted","EC_q4_to_q4_size_adjusted","avg_frank_all_size_adjusted","avg_frank_low_size_adjusted","avg_frank_high_size_adjusted"
"EG","loan",0.946925229642557,1.05520948771826,1.00136982867503,1.08532238229607,0.895730548204232,0.991906728913865,1.23963459823471,1.1750354311696,1.04737627114762,1.10924521559514,0.867243628248413,1.1034479475867,0.986301789651072,1.04300663451381,1.11003293003293,1.1285643985644,1.01613201613202,0.745270655270655,0.965010729784291,0.888903548511872,1.1035147064278,1.04257101527603,1.08738117674288,0.834831126320488,0.969366331068459,1.10842136586817,0.629784157363105,0.892200501253133,1.06530796688691,1.41270737449685,0.7354223790394,0.783974536102196,0.99650597629321,1.48409710856519,0.830472416472416,1.09902097902098,0.787131313131313,1.28337529137529,0.900866665498244,0.92257592699698,0.906979137821243,1.26957826968353,0.630645255645256,1.11323563823564,1.0731045981046,1.18301450801451,0.702872076324089,0.844815444273649,1.18915136720864,1.26316111219362,1.31358686327523,0.712477388723926,0.680388363560109,1.29354738444074,0.790321041921042,0.992498730898731,1.33079905279905,0.886381174381174,0.764654234654235,1.00359603359603,1.28869130869131,0.943058423058423,1.06205591679276,0.828404285772707,1.08100396679344,1.02853583064109,1.23997563839669,1.0649674886517,0.862708558498032,0.832348314453578,1.15152343952344,0.960611240611241,0.873003885003885,1.01486143486144,0.865425699183558,0.916083869626172,1.06413473658848,1.15435569460179,1.04777276247392,0.968413779698347,1.02525774057442,0.958555717253309,0.49659922611376,0.536161610587218,0.498435655039474,0.487260588246604,0.560253877501295,6.00612361318751,31440.985915493,0.540898838093739,2593.65,0.521572967497365,30578.4933333333,0.531797020484171,2571.59666666667,0.505834101337948,0.513505306601794,6.10370373796046,31319.2913907285,0.479688174429933,2315.63907284768,0.472294503849142,30298.74,0.482402234636872,2340.36,0.560746691602067,0.559717579803396,0.500181239800947,0.527007027626652,1.06028569383833,0.923966124518756,0.99212590917854,0.865976985976986,0.981718281718282,0.936094646094646,1.21621008621009,0.931848580269633,0.979313376681798,0.952446461920146,1.13639158112842,1.13272172272172,1.07742405742406,0.871858881858882,0.917995337995338,1.08229147071252,1.01169825106667,0.910736678526152,0.995273599694652,0.510814590254612,0.531731187834258,0.489897992674966
"EG","behav",0.95250826503305,1.03108298382808,0.992015106885301,1.06120010106852,1.01224380687539,1.03169464245735,1.09353833389772,1.05101506450545,1.12609966267851,1.08971054001443,1.04973932781419,1.08760918226159,0.962704853079185,0.899946636845033,1.08277379425986,0.97078608086864,0.8331732579617,1.1132668669098,0.844038697280831,1.06826930935002,0.921338597562948,1.1663533958062,0.934379568422122,1.02680806191444,0.928034613140996,1.11077775652244,0.443319974143504,1.45143823496765,1.04491748774102,1.06032430314783,0.921650354125158,0.80421459839153,0.858289825143129,1.41584522234018,0.527605540239811,1.15862021013939,0.862137996700656,1.45163625292014,0.687737142802158,0.830503662488183,1.16845344885593,1.31330574585373,0.839385045267398,0.97427294486118,1.17461685108744,1.01172515878398,0.984284041400232,1.00543699405473,1.20682039712043,0.803458567424603,0.610989427895082,1.14552361747571,0.904107520039572,1.33937943458964,0.746755466755467,0.992216672216672,1.06555000555001,1.19547785547786,1.00369869781634,0.861748099395158,1.1009451550628,1.03360804772569,1.09840361450269,0.791349184011723,1.12422150146608,0.986025700019508,1.04814393197675,0.889694767335634,1.0284901595366,1.03367114115102,0.84050061050061,1.17268546268546,0.909111999111999,1.07770192770193,0.790060289050135,1.030518630921,1.08400633421132,1.09541474581754,0.999530744628084,0.937079970457207,1.04326514133514,1.02012414357957,0.506313860997162,0.534771777622663,0.507067774412033,0.487325075519053,0.510455548173111,5.63404444357017,29933.0267605634,0.465519185878774,2510.8014084507,0.509616335759223,31122.98,0.497206703910615,2589.16666666667,0.52509165996996,0.557638695383168,7.0017021840739,35727.4741721854,0.534111201548954,2549.27814569536,0.50814426088576,33879.2133333333,0.51475791433892,2498.83666666667,0.522955543247653,0.496852612356697,0.559355911245841,0.555898583308993,1.11036390023232,1.04646543709702,1.07841466866467,0.861454275571923,0.856578193048781,1.18384473913886,1.09812279224044,0.999375741790603,0.841136188659408,1.12418918657309,1.0352988829769,0.934435737407874,0.937820544322092,1.05770594157591,1.07003777669412,0.87353416953417,1.0683478003478,1.01602693602694,1.04209109409109,0.525679156172822,0.527895728697973,0.523462583647671
"EG","exchange",1.09107451811923,1.06200345043482,1.07645778017735,0.99794378480137,1.0664721421472,1.0375964761724,1.22124464377345,1.14834697411824,1.16452378443452,1.15668382858158,0.930635008266587,0.947387773045668,0.938101956523009,1.18387526216474,0.919055936012458,0.839960361699492,1.05394719612111,1.18703650616694,1.05303688559502,0.663929352301445,1.0346480392992,1.24838572280433,0.97845633715471,1.04302942225345,0.833543094369127,1.14497114622271,0.731775335775336,0.899484737484737,0.744446886446887,1.62429304029304,0.766848670728521,0.712205274908654,1.18902474246654,1.33192131189628,0.679362598186128,1.00889463477699,0.912506708977297,1.39923605805959,0.460717823239562,1.02731632618589,0.969082337951903,1.54288351262264,0.795297234770919,0.923622856517593,1.09243791217475,1.18864199653673,0.868936816032063,0.817377486836602,1.0572203752863,1.25646532184503,0.707610302232728,0.809850713740874,0.984972324903675,1.49756665912272,0.727191031191031,1.09929936729937,0.911936063936064,1.26157353757354,1.05246856457383,0.733289634342266,1.11171390013495,1.10252790094895,1.00651344298403,1.2159532188944,0.809130455601044,0.96840288252053,0.904994684948919,1.0259998633454,0.88984783501946,1.17915761668622,0.74044252044252,1.06267436267436,1.09814333814334,1.09873977873978,0.772209587618576,0.914422755218259,1.01018598125694,1.30318167590622,0.922431034769192,1.00237601288602,0.984086514611073,1.09110643773372,0.526836950501827,0.557593159560224,0.514220084383369,0.523070897988788,0.545084646738082,5.83842585307,30191.1887323944,0.501625488498964,2477.46901408451,0.49508447063112,27951.1133333333,0.494553072625698,2447.49,0.530561157986944,0.569356131883034,6.3141397511315,32118.1774834437,0.555282906014528,2537.89337748344,0.530783228817592,32588.8333333333,0.560381750465549,2573.49,0.556177597971315,0.533012905690151,0.584591650957746,0.553917472553991,1.01911905832958,1.12452113659611,1.07182009746285,0.999104599104599,0.853036223036223,0.9501628001628,1.19769637769638,1.06022192232719,1.01116102221365,0.934246085298717,0.994370970160444,0.727408913705858,1.03625738166053,1.14271002923581,1.0936236753978,0.760769600769601,0.977479557479558,1.15038961038961,1.11136123136123,0.525002518547441,0.51100145931067,0.539003577784212
"EG","info",0.999291109048649,1.06018126406585,1.02990627078914,1.03813226018334,1.02604144880461,1.02627476728201,1.23309892030807,1.14635146633141,1.06944459630064,1.10671686778313,1.15082286134918,0.899503964934587,0.930357441601461,1.01931573211477,1.08841649578492,0.865179109389636,1.08587681324523,0.960527581580213,1.10550704485473,0.962342354408018,0.871388917799747,1.06076168293751,0.95420548718421,0.753238093663626,1.02357496719199,1.26898145196018,0.575531135531135,0.881365079365079,0.889169719169719,1.65393406593407,0.701938381755258,0.913678612189909,1.12252792987922,1.26185507617561,0.686868196131354,1.0043413662361,0.889207634470793,1.41958280316175,0.896408500752773,0.866149890769705,1.00947782557999,1.22796378289753,0.788727015042804,0.955976913871651,1.02239946713631,1.23289660394924,0.792016537864289,0.874573062462336,1.21978354210188,1.11362685757149,0.995932340461427,0.925643390671091,1.07557297273364,1.00285129613384,0.869564357669621,0.930275327012169,1.19192123665808,1.00823907866013,0.794964119700962,0.993747149536623,1.20229964966807,1.00898908109434,0.981146933561794,1.07761275646725,1.1097829334981,0.831457376472856,0.914833159043685,0.883605906763802,0.97405814458446,1.22750278960805,1.02914324791518,1.06825189105891,1.15973158745089,0.742873273575028,0.863928697570748,0.922637566862992,1.12539413006187,1.08803960550439,0.933073083107191,1.01437738232879,1.11335736827157,0.939192166292444,0.501005213500931,0.531324750772339,0.500409369618079,0.491393845555832,0.550101955658081,6.00171171348388,30481.6295774648,0.522162116085714,2488.34647887324,0.505737920939225,29946,0.501443202979516,2513.97666666667,0.510509788468863,0.513666717038727,6.52408339191239,33435.2476821192,0.519071799425309,2551.94238410596,0.498351070948083,32371.8666666667,0.539571694599628,2577.08,0.551640709572495,0.548427429339454,0.50601837675961,0.521417035188231,1.07560576420484,1.05300908318452,1.06430742369468,0.939362924657042,1.02454943749061,1.01107565636977,1.02501198148257,0.910752054962581,0.822912526070421,1.31774042721411,0.948594991752887,1.00248967406862,0.708493377967062,1.1066066097645,1.18241033819981,1.00295218102236,1.07402843420387,1.13994569433166,0.783073690442111,0.516284915182124,0.527641973566509,0.50492785679774
"EG","male",0.986873705852208,1.00760539771737,0.997297461538602,1.09148658874665,0.961772883119632,1.01691159586421,1.20123730209268,1.15968163661172,1.08357768959854,1.12046083115441,0.941352713334138,1.0671249759872,1.02524643828823,0.966275872390423,1.07999194705077,0.963640542464072,0.873019660078484,1.08334785040667,1.01080593553054,1.05275687864427,0.833375382946986,1.1030618028782,0.926609518974976,0.986110212968786,0.907950683720396,1.17932958433584,0.379555555555556,1.16342857142857,1.01580952380952,1.44120634920635,0.803083015835799,0.85246500639426,0.943279327878498,1.40117264989144,0.617141969141969,1.1210525030525,0.8483774003774,1.41342812742813,0.704906562320885,0.905450090404054,1.12086168392562,1.26878166334944,0.731894176863217,0.874998390865264,1.20287429010339,1.19023314216813,0.949562365738836,0.811325357648887,1.14175179395768,1.0973604826546,0.831113531381985,1.08031992969462,0.915273744595889,1.1732927943275,0.755308795779384,0.997899133546192,1.12757009004068,1.11922198063375,0.91536696762703,0.868504267203958,1.16231843721008,1.05381032795893,1.00231657231657,0.847865837865838,1.07966810966811,1.07014948014948,0.918123808309567,1.00104860006408,1.11913953767824,0.961688053948116,1.00737069466481,1.22636536448301,0.909614046084634,0.856649894767542,0.81414060759933,0.944937730091842,1.09481358634509,1.14610807596374,0.963519841419826,1.00265696685175,1.06770229310083,0.966120898627589,0.506993111763915,0.539421364794026,0.50488132990185,0.49938437626625,0.544091906047685,5.82265586067616,29936.7647887324,0.51094958952973,2508.48450704225,0.521564999893632,29972.2266666667,0.519832402234637,2640.47666666667,0.514517305756051,0.53502920017138,6.44195462897875,32941.5245033113,0.498843526089262,2490.96026490066,0.493289186201476,31992.0733333333,0.496927374301676,2437.27666666667,0.558621258635424,0.528280551761028,0.527098274357093,0.543065871663192,1.13300272654762,1.0166602949281,1.07483151073786,0.855314933890785,0.909933197177779,1.08995252998349,1.14479933894795,0.895263255263255,0.807477707477707,1.14773966773967,1.14951936951937,0.897958336812826,0.974945365607904,1.20239539293409,0.924700904645177,1.07526502255914,0.985190095307742,1.11952938564703,0.820015496486085,0.522408506952379,0.543429495140796,0.501387518763963
"EG","female",0.998790766543281,1.06609457486289,1.03263067016767,1.02894324051882,1.04226596621282,1.03620807121948,1.15887342299994,1.05318415631312,1.10867640693836,1.08178255168653,1.14410640790537,0.954401945925031,0.910012687205109,0.991478958964489,1.08637410519763,0.822089805619217,1.01618538324421,1.07535070593894,0.941057093081717,1.00439603867784,0.934104084090404,1.12044278415003,0.954558344479957,0.842218078052345,1.05028707761071,1.15293649985699,0.543192399156459,1.07794847733144,0.98505226621541,1.39380685729669,0.852927531594945,0.894338683588404,0.977354734353615,1.27537905046304,0.609897435897436,1.09833333333333,0.917384615384615,1.37438461538462,0.809039903337117,0.849848448764857,1.06184799308019,1.27926365481783,0.723616330693326,1.05752398120483,1.12123709339014,1.09762259471171,0.897778327017081,1.11827044543308,1.21889932443566,0.765051903114187,0.788131085460807,0.982536971971956,1.077220431787,1.15211151078024,0.857651337723164,0.937134698806526,1.06830625666044,1.13690770680987,0.809078170898066,1.00125078254032,1.11596475494712,1.07370629161449,1.05913844325609,1.01475964123023,1.18695073989192,0.739151175621764,1.05685364744188,0.799684534782574,0.868809962731531,1.27465185504401,0.851777181882445,1.12262077104182,1.09509007951113,0.930511967564599,0.815079684412035,1.0213552122149,1.11893659057283,1.04462851280024,0.94665612969792,0.980927727863123,1.07122428908857,1.00119185335039,0.505672845051425,0.530356052496879,0.506193889041723,0.492781761856006,0.523015923073052,5.73278352611011,29891.8901408451,0.507261258425788,2490.07535211268,0.503168046854294,30461.3866666667,0.506052141527002,2513.75333333333,0.518420693989119,0.537258690762994,6.84041893275124,34967.7894039735,0.521245390753142,2522.04039735099,0.509860725888214,33307.9933333333,0.524860335195531,2509.28666666667,0.540434921709325,0.504059953968873,0.536508554107618,0.538018829240442,1.08582908791652,1.0577836322986,1.07180636010756,0.857559556101756,1.02351955802084,1.09785133025542,1.02106955562199,0.975062001408751,0.800542532802595,1.37162579651744,0.852769669271217,1.01266469913529,0.749791015085133,0.922379646497294,1.31516463928229,0.861128090882477,1.14528166570272,1.05391604367043,0.939674199744375,0.5222212821243,0.521623885099232,0.522818679149368
"EG","sum",1.00502377509534,1.04672099258833,1.0259888565164,1.06011781832958,0.987693644482374,1.02074267065371,1.18424372336477,1.11595228966243,1.09370692308505,1.10448795398604,0.963561679967186,0.999997999944966,1.0230255119436,1.01341480814424,1.04477661372823,0.970982099980547,0.934452623952038,1.04978866233918,0.985793901873357,0.952247258820713,0.962337928391441,1.09962091091449,0.982404525480805,0.895349760141659,1.0173697511823,1.10487596319523,0.530302048307787,1.07341692359558,0.914631271069994,1.48164975702664,0.781139668555645,0.879940524467022,0.992017521606655,1.34690228537068,0.586740671376497,1.12738628452493,0.90144468717766,1.38442835692091,0.791122472163235,0.880904134755009,1.01757740877153,1.31039598431023,0.755455171967808,1.00606909848267,1.03549971273342,1.2029760168161,0.818408452714965,0.956837925557585,1.09156196965298,1.13319165207447,0.867103434364202,0.988434087760797,0.941844591567524,1.20261788630748,0.802052160323923,0.967009940300274,1.10261927518877,1.12831862418703,0.892784459677144,0.86550580868758,1.20801329129575,1.03369644033952,1.00872305589896,0.992515402417994,1.05369036889254,0.945071172790501,1.01139495568805,0.941145243481813,0.932603480171945,1.11485632065819,0.960232909998575,1.13645231290207,1.05271362975636,0.850601147342996,0.810953005277164,0.980071086750766,1.04139872790773,1.16757718006434,0.968638344032005,0.989876314660566,1.06190983004749,0.979575511259942,0.50829385957343,0.540038096057425,0.504457266213696,0.501878574942849,0.545100125635576,14.120555315131,72420.552112676,0.527768379363705,2442.23873239437,0.513523970175694,71537.2666666666,0.518808193668529,2490.86,0.51463786326367,0.535277776851482,14.9724715429107,75855.5854304636,0.51749016488463,2401.68741721854,0.496862563577134,74228.1133333333,0.523277467411546,2385.21666666667,0.550515764887256,0.539206635861688,0.531299220016012,0.539309381111426,1.10178549665164,1.00747959781896,1.0546325472353,0.87821070416667,0.927499916406088,1.11808081646108,1.07620856296617,0.892254482559499,0.894892910261171,1.14550840655627,1.06734420062306,1.0062433323795,0.939913624269913,0.995025854216615,1.05881718913397,0.920881873636915,1.10304277843781,1.10028972562783,0.875785622297439,0.519119053525006,0.533426369690467,0.504811737359546
"EG","collapse_sum",1.00446130767696,1.04984165361211,1.02727824138737,1.05953346286375,0.990577192591494,1.02227339787234,1.18264637101643,1.11300176759351,1.09476730353656,1.10360448406928,0.974069624297719,0.986421407263217,1.03154681025651,1.00796215818256,1.03513148657457,0.985852554421436,0.94199652217537,1.03701943682863,0.989361212538134,0.941810406061554,0.973527706186215,1.0953006752141,0.97257113489299,0.899516583192847,1.02113731252658,1.10677496938758,0.537743603159136,1.09201352226229,0.910474718606652,1.45976815597192,0.774690513991183,0.865282842428841,1.00635366180038,1.35367298177959,0.586385130419703,1.1301972665039,0.898931528494013,1.38448607458239,0.785046614705218,0.877365286737215,1.03065939883639,1.30692869972118,0.764966749033028,1.02154886171726,1.01279697735257,1.20068741189714,0.811598995515315,0.948773692836481,1.09660130447166,1.14302600717655,0.86480236943255,0.990604769578523,0.938216463245266,1.20637639774366,0.802356626548606,0.962567797012965,1.09643756477988,1.13863801165855,0.900327791490223,0.86786517044624,1.21266838042954,1.01913865763399,1.00560813081072,0.988065055797802,1.05595426366273,0.950372549728753,1.01511609404124,0.939214852991692,0.942521511284301,1.10314754168277,0.94914851405989,1.13421176854121,1.05720001530282,0.859439702096085,0.811255966523907,0.981535065337538,1.03431103615459,1.17289793198397,0.967458220051832,0.987994984203482,1.06684883862898,0.977697957115706,0.508493370660174,0.540303216315683,0.50447602357925,0.501528094431526,0.545051189967687,14.120555315131,72420.552112676,0.527768379363705,2442.23873239437,0.512969172563014,71537.2666666666,0.518808193668529,2490.86,0.515381254930726,0.535838234470753,14.9724715429107,75855.5854304636,0.51749016488463,2401.68741721854,0.497169755654067,74228.1133333333,0.523277467411546,2385.21666666667,0.548599958172082,0.541189295157021,0.531600934267344,0.540132032010207,1.09660720204555,1.00946602154166,1.05303661179361,0.886353720651544,0.929165916290706,1.12196555388922,1.06251480916853,0.898135824696527,0.899915730179022,1.12922536716842,1.07272307795603,0.999807976966085,0.949541283952553,1.00565868532106,1.0449920537603,0.905110056128379,1.10767659678634,1.09989536578705,0.887317981298238,0.518868616059463,0.532115027968928,0.505622204149997
"EG","main_supp",1.00599882412031,1.05464622006119,1.03045840867159,1.06474487024983,0.990219124985239,1.02437955154682,1.19198893031766,1.12503381569029,1.09625747594727,1.11020368838246,0.971538485505715,0.99214073440985,1.02138449847983,1.0149362816046,1.02735416976845,0.984430799793765,0.936945949689919,1.05126908074786,0.975442952494326,0.934218437446953,0.974089715195792,1.11624889486293,0.975823403121487,0.897543418612782,1.01812208017103,1.1085110980947,0.525936840832752,1.07583353909648,0.912249563681399,1.48598005638937,0.769268249585455,0.861915335987157,0.989338946803052,1.37947746762434,0.580711147758556,1.1399754012066,0.905074381728092,1.37423906930675,0.785852729457767,0.8820050497365,1.01017757519138,1.32196464561436,0.749772629208072,1.00810651303542,1.03466407110764,1.20745678664887,0.806369466910672,0.934914942176652,1.12806763055342,1.13064796035926,0.862156865634415,0.994208975214204,0.931842922585858,1.21179123656552,0.790844848762685,0.967107662696361,1.1065250219024,1.13552246663856,0.897512596257383,0.860689646945854,1.20337076337871,1.03842699341806,0.990164755457431,0.992653520340021,1.06018977324784,0.956991950954707,1.00579579765588,0.947018511908553,0.936823112877692,1.11036257755788,0.94886160740465,1.13744758308996,1.05677243113542,0.856918378369963,0.80257195821413,0.977020665020956,1.0480654569925,1.17234191977241,0.960807676789449,0.990433220116906,1.06448660390928,0.984272499184364,0.50993413606052,0.541617448374986,0.505612574118365,0.502587876628816,0.546653994801919,14.120555315131,72420.552112676,0.527768379363705,2442.23873239437,0.51521362764271,71537.2666666666,0.518808193668529,2490.86,0.517198770387428,0.536881093456944,14.9724715429107,75855.5854304636,0.51749016488463,2401.68741721854,0.497445011655968,74228.1133333333,0.523277467411546,2385.21666666667,0.551537389019172,0.541339712859613,0.532113242655932,0.541712515601969,1.10467642274744,1.01188236848262,1.05827939561503,0.883731780730083,0.921000058378666,1.10745663477073,1.08781152612052,0.880250414781559,0.896312055119951,1.14453541360631,1.07890211649218,0.999980924489944,0.932265918675073,1.01264212418829,1.0551110326467,0.913047674694723,1.10717600820979,1.09994568914924,0.87983062794625,0.520198043385793,0.53472997136078,0.505666115410807
"EG","primary_kin",1.39590479479211,1.14130434782609,1.29226213496523,1.23321648360209,1.09375,1.17449375366437,1.4005439005439,1.35052738178702,0.928571428571429,1.1767808128159,0.348717948717949,0.700854700854701,1.51794871794872,1.43247863247863,0.0727139184722732,1.35640837311788,1.07612481777006,1.49475289063978,1.72727272727273,0.727272727272727,0.818181818181818,0.727272727272727,0.416666666666667,0.625,0.666666666666667,2.29166666666667,0.846511627906977,0.558139534883721,0.223255813953488,2.37209302325581,0.63768115942029,0.176588628762542,0.927536231884058,2.25819397993311,0.875,0.864583333333333,1.04166666666667,1.21875,0.52,0.92,1.64242424242424,0.917575757575757,0.183606557377049,0.86775956284153,0.714754098360656,2.23387978142076,1.44389066680657,0.163265306122449,1.41570047041953,0.977143556651452,0,2.75,0.943181818181818,0.306818181818182,0.644444444444444,1.06666666666667,0.755555555555556,1.53333333333333,0.430769230769231,0.882051282051282,1.15337995337995,1.53379953379953,0.852232695420356,1.00019042178425,1.36979910501761,0.777777777777778,1.14285714285714,1.42857142857143,1.42857142857143,0,1.11111111111111,0.111111111111111,1,1.77777777777778,0.593318944778192,1.05311942959002,0.947332306055482,1.40622931957631,0.8228972173364,0.828115275334867,1.21900345629205,1.12998405103668,0.578795829753425,0.597739518159403,0.534353511749635,0.610798931189516,0.633838077645118,1.14370492635856,5776.39454545455,0.582952429321144,2989.75454545455,0.569738500264007,6127.35454545455,0.606543084476045,2937.97272727273,0.532182616792162,0.546170147465524,0.962771771989649,4777.22597402597,0.557923408063073,2648.17532467532,0.485699152542373,4030.525,0.51671322160149,2539.4625,0.728075402376023,0.516522224408684,0.471711785086358,0.599118316268487,1.14126984126984,0.862845909572055,1.01671176656294,0.855555555555556,1.01111111111111,0.961616161616162,1.17171717171717,0.259259259259259,1.25925925925926,1.03703703703704,1.44444444444444,0.917095115681234,1.66580976863753,1.16709511568123,0.25,1.33333333333333,0.666666666666667,0.888888888888889,1.11111111111111,0.537918431370941,0.574493746993747,0.492737159131005
