"","site","mean_wealth_per_capita","max_wealth_per_capita","median_wealth_per_capita","sd_wealth_per_capita","wealth_pc_80_20","wealth_pc_90_10","mean_wealth","max_wealth","median_wealth","sd_wealth","gini_wealth_per_capita","gini_weighted_wealth_per_capita","gini_wealth_per_adult","gini_weighted_wealth_per_adult","gini_wealth","gini_size_adjusted_wealth","gini_degree_centrality","deg_gini","ideg_gini","odeg_gini","ideg_pa_gini","odeg_pa_gini","ideg_pc_gini","odeg_pc_gini","deg_pa_gini","ideg_cv","odeg_cv","deg_cv","ideg_pa_cv","odeg_pa_cv","deg_pa_cv","ideg_size_adjusted_gini","odeg_size_adjusted_gini","ext_count_gini","ext_count_pa_gini","ext_count_pc_gini","ext_count_cv","ext_count_pa_cv"
"1","EG",600.654277777778,2314,555.011904761905,402.539529488619,3.19304432365549,5.75670644391408,2632.58333333333,6942,2377.4,1423.14242187416,0.349807473786756,0.348528253013697,0.334494867485871,0.317085061882949,0.306375330025877,0.313643100158114,0.0901994332460035,0.0901994332460035,0.133310438172967,0.129492333488213,0.134305690298644,0.125571344982386,0.178291773390721,0.161158157183388,0.116787289345429,0.237819792102121,0.228146474802586,0.156445617940626,0.247865706423407,0.229258453240102,0.215973741622476,0.126010888323489,0.117364749615794,NA,NA,NA,NA,NA
"2","EX",544.367367346939,1831.2,467.46,352.934521175208,3.10811320754717,5.52763656030287,2634.42571428571,6528.6,2342.7,1475.074415385,0.349613812112889,0.338846431791534,0.322888459819906,0.322805328385542,0.31123827695598,0.311023173897872,0.0986963054210174,0.0986963054210174,0.137621038187592,0.15046576272625,0.143418590338372,0.13280851081787,0.163719544289439,0.164619112010626,0.115781707372575,0.240721707486254,0.263724082842733,0.173223733895032,0.275961704655896,0.241129068606964,0.217081709894005,0.122636405498224,0.133409369296219,NA,NA,NA,NA,NA
"3","SI",661.015678571429,1327.3,637.196428571429,292.408191874335,1.9929192600689,3.34935170617914,2953.705,6725.2,2897.4,1411.38255766356,0.252806733649824,0.248247740176442,0.299873659273052,0.300598204984126,0.271022543221358,0.244036933269567,0.0713367092677438,0.0713367092677438,0.125611304747237,0.11707330253168,0.118630984617875,0.122534635813245,0.166001591689987,0.151886538137938,0.111101994301994,0.219947293343665,0.20404625754526,0.126153142716985,0.221921388507905,0.225071524232342,0.196064192187294,0.11191345810616,0.0955162905987371,NA,NA,NA,NA,NA
"4","SM",514.856919047619,1544.66666666667,463.125,340.182197562986,3.88176313195325,7.98440976914991,2382.014,6534,2227.1,1449.73543256985,0.366249336797327,0.368552622286899,0.369823333875643,0.389352118817193,0.340335777144293,0.34284903388445,0.126729679237516,0.126729679237516,0.167092534838608,0.160330460747261,0.123633218871314,0.113017463667013,0.155801952642734,0.143349199817855,0.106430753965754,0.294332554867285,0.285158586988787,0.221101699789243,0.225500089686211,0.204183190389808,0.191142637268962,0.142182754453383,0.130562102801631,NA,NA,NA,NA,NA
